序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,恒玄科技,688608,128.04,8.32,2314567441.0,7.51,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
2,绿盟科技,300369,6.99,5.75,826322063.0,14.86,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
3,诚迈科技,300598,29.89,5.73,399007771.0,6.33,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
4,菲菱科思,301191,129.08,5.09,1869465987.0,19.49,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
5,宁波银行,002142,32.26,5.08,1613674258.0,0.77,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
6,鹏辉能源,300438,67.7,4.2,2202970304.0,8.13,全市场热门,跟随市场节奏，需观察量能确认趋势
7,通富微电,002156,73.57,3.69,15949968474.0,14.09,全市场热门,跟随市场节奏，需观察量能确认趋势
8,宁德时代,300750,359.06,2.95,16540015163.0,1.09,全市场热门,跟随市场节奏，需观察量能确认趋势
9,海天味业,603288,34.4,2.02,765453316.0,0.4,全市场热门,跟随市场节奏，需观察量能确认趋势
10,中际旭创,300308,1108.0,1.28,38390820848.0,3.1,光模块,跟随市场节奏，需观察量能确认趋势
